[20-Mar-2024 12:49:21 UTC] PHP Parse error:  Unclosed '{' on line 211 in /Users/boglarkamadar/Local Sites/wordress/app/public/wp-content/themes/twentytwentyfour/functions.php on line 228
[20-Mar-2024 12:49:21 UTC] PHP Warning:  Trying to access array offset on value of type bool in /Users/boglarkamadar/Local Sites/wordress/app/public/wp-includes/class-wp-recovery-mode-email-service.php on line 367
[20-Mar-2024 12:49:21 UTC] PHP Warning:  Trying to access array offset on value of type bool in /Users/boglarkamadar/Local Sites/wordress/app/public/wp-includes/class-wp-recovery-mode-email-service.php on line 368
[21-Mar-2024 11:33:01 UTC] PHP Warning:  Attempt to read property "title" on null in /Users/boglarkamadar/Local Sites/wordress/app/public/wp-includes/class-wp-customize-widgets.php on line 905
[21-Mar-2024 11:33:19 UTC] PHP Warning:  Attempt to read property "title" on null in /Users/boglarkamadar/Local Sites/wordress/app/public/wp-includes/class-wp-customize-widgets.php on line 905
[26-Mar-2024 09:10:42 UTC] PHP Warning:  Cannot modify header information - headers already sent by (output started at /Users/boglarkamadar/Local Sites/wordress/app/public/wp-includes/class-wp-styles.php:290) in /Users/boglarkamadar/Local Sites/wordress/app/public/wp-includes/pluggable.php on line 1093
[26-Mar-2024 09:10:42 UTC] PHP Warning:  Cannot modify header information - headers already sent by (output started at /Users/boglarkamadar/Local Sites/wordress/app/public/wp-includes/class-wp-styles.php:290) in /Users/boglarkamadar/Local Sites/wordress/app/public/wp-includes/pluggable.php on line 1094
[26-Mar-2024 09:10:42 UTC] PHP Warning:  Cannot modify header information - headers already sent by (output started at /Users/boglarkamadar/Local Sites/wordress/app/public/wp-includes/class-wp-styles.php:290) in /Users/boglarkamadar/Local Sites/wordress/app/public/wp-includes/pluggable.php on line 1095
[26-Mar-2024 09:10:42 UTC] PHP Warning:  Cannot modify header information - headers already sent by (output started at /Users/boglarkamadar/Local Sites/wordress/app/public/wp-includes/class-wp-styles.php:290) in /Users/boglarkamadar/Local Sites/wordress/app/public/wp-includes/pluggable.php on line 1435
[26-Mar-2024 09:10:42 UTC] PHP Warning:  Cannot modify header information - headers already sent by (output started at /Users/boglarkamadar/Local Sites/wordress/app/public/wp-includes/class-wp-styles.php:290) in /Users/boglarkamadar/Local Sites/wordress/app/public/wp-includes/pluggable.php on line 1438
[26-Mar-2024 09:12:00 UTC] PHP Warning:  Attempt to read property "title" on null in /Users/boglarkamadar/Local Sites/wordress/app/public/wp-includes/class-wp-customize-widgets.php on line 905
[26-Mar-2024 17:25:05 UTC] PHP Parse error:  Unclosed '{' on line 140 in /Users/boglarkamadar/Local Sites/wordress/app/public/wp-content/themes/digitalis-dietetika/index.php on line 163
[26-Mar-2024 17:27:53 UTC] PHP Parse error:  Unclosed '{' on line 53 in /Users/boglarkamadar/Local Sites/wordress/app/public/wp-content/themes/digitalis-dietetika/index.php on line 140
